v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30_1,v30_2,v30_3,v31_1,v31_2,v31_3,v32,v33,v34,v35_1,v35_2,v35_3,v35_4,v35_5,v35_6,v35_7,v35_8,v35_9,v35_10,v36_1,v36_2,v36_3,v36_4,v36_5,v36_6,v36_7,v36_8,v36_9,v36_10,v37,v38_1,v38_2,v38_3,v38_4,v38_5,v38_6,v38_7,v39,v40,v41,v42,v43,v44,v45,v46,v47,wei,wei2
21,893,43,8,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,2,97,1,1,1,2,1,1,1,2,3,99,99,99,2,7,7,3,99,99,99,99,99,99,99,99,99,9,3,5,7,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,8,23,99,999,99,99,3,1,.3261,.05155641
5,730,58,6,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,3,99,99,99,2,8,8,2,4,99,99,99,99,99,99,99,99,2,4,5,99,99,99,99,99,99,99,3,1,2,3,99,99,99,99,4,7,17,3,100,3,1,1,1,.984,1.1956584
6,801,54,6,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,1,2,1,2,3,99,99,99,1,6,7,1,2,3,4,5,6,7,99,99,99,3,4,5,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,8,18,3,0,4,2,3,2,1.1222,2.00054594
2,105,65,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,3,99,99,99,2,5,9,1,2,99,99,99,99,99,99,99,99,3,4,5,6,7,8,9,99,99,99,2,1,2,99,99,99,99,99,4,8,16,3,70,4,1,3,2,1.5069,2.40124515
19,316,46,8,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,2,1,2,1,1,2,1,2,1,2,3,99,99,99,2,6,7,1,99,99,99,99,99,99,99,99,99,3,4,5,6,7,8,9,99,99,99,3,1,2,99,99,99,99,99,4,7,3,2,80,3,1,1,1,.45,.212535
20,600,82,3,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,3,99,99,99,99,3,7,9,1,99,99,99,99,99,99,99,99,99,3,4,5,8,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,5,19,6,100,4,1,98,2,1.4818,.4208312
3,334,91,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,3,99,99,99,3,8,8,2,99,99,99,99,99,99,99,99,99,3,4,5,7,8,99,99,99,99,99,2,1,2,99,99,99,99,99,4,6,22,99,999,99,99,3,2,1.378,1.9954818
19,316,82,3,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,2,3,99,99,99,2,7,8,1,6,5,99,99,99,99,99,99,99,1,6,5,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,8,3,6,70,3,2,3,1,.5841,.27587043
1,231,52,6,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,1,2,1,2,3,99,99,99,2,8,8,1,2,99,99,99,99,99,99,99,99,4,6,5,3,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,16,3,70,2,1,3,1,1.3154,3.41951384
8,310,45,8,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,2,3,99,99,99,2,8,6,1,2,3,4,7,99,99,99,99,99,1,2,6,7,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,6,13,3,100,2,1,1,1,.4761,.28880226
1,220,65,5,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,2,1,2,3,99,99,99,3,8,8,97,99,99,99,99,99,99,99,99,99,1,2,6,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,8,3,3,70,2,1,3,1,.4936,1.28316256
2,114,59,6,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,3,99,99,99,2,7,8,1,9,6,99,99,99,99,99,99,99,4,2,6,9,5,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,16,3,100,2,1,3,1,1.2969,2.06661015
15,880,64,5,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,3,99,99,99,2,9,6,2,6,1,3,9,99,99,99,99,99,1,4,6,7,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,8,16,3,75,3,1,3,2,1.0448,.12349536
3,334,75,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,3,99,99,99,3,8,9,97,99,99,99,99,99,99,99,99,99,1,4,6,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,8,3,3,100,3,1,4,1,1.0976,1.58943456
3,330,50,7,1,1,2,2,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,1,2,3,99,99,99,3,8,4,3,4,6,7,99,99,99,99,99,99,3,4,6,7,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,6,23,99,999,99,99,3,1,.8101,1.17310581
19,316,80,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,2,3,99,99,99,2,8,8,2,3,6,99,99,99,99,99,99,99,1,5,6,99,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,8,13,3,100,3,1,4,1,2.4613,1.16247199
4,420,70,5,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,2,3,99,99,99,2,8,9,2,99,99,99,99,99,99,99,99,99,1,5,6,9,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,7,7,3,70,2,1,4,1,1.2348,2.22436872
1,243,68,5,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,1,2,3,99,99,99,2,7,5,1,2,3,5,6,7,9,99,99,99,3,5,6,7,9,99,99,99,99,99,2,1,2,99,99,99,99,99,4,7,3,2,70,3,1,3,1,1.3655,3.5497538
4,429,70,5,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,99,99,99,1,8,9,2,1,3,9,99,99,99,99,99,99,7,8,6,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,7,7,4,100,3,1,3,2,1.1779,2.12186906
17,950,41,8,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,2,3,99,99,99,2,8,6,2,5,9,99,99,99,99,99,99,99,4,3,7,8,99,99,99,99,99,99,3,1,2,99,99,99,99,99,4,5,23,99,999,99,99,3,2,.4039,.09414909
5,711,62,5,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,3,99,99,99,1,7,6,5,4,99,99,99,99,99,99,99,99,5,4,7,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,6,6,4,80,3,2,3,2,1.2027,1.46140077
8,302,86,3,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,3,99,99,99,3,7,8,3,9,99,99,99,99,99,99,99,99,4,5,7,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,7,3,3,100,3,1,1,1,1.64,.994824
7,262,998,4,1,1,2,2,2,1,2,2,1,1,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,97,99,99,6,99,99,3,7,5,97,99,99,99,99,99,99,99,99,99,4,5,7,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,5,1,98,0,3,2,3,1,1.1874,.58146978
14,931,62,5,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,3,99,99,99,99,1,5,5,97,99,99,99,99,99,99,99,99,99,4,5,7,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,2,6,23,99,999,99,99,3,2,.9063,.79926597
19,316,998,4,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,3,99,99,99,2,7,7,6,1,2,3,99,99,99,99,99,99,4,6,7,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,8,16,5,100,4,1,3,2,2.9641,1.39994443
13,603,76,4,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,2,2,1,2,3,99,99,99,2,7,7,2,99,99,99,99,99,99,99,99,99,5,6,7,99,99,99,99,99,99,99,2,1,2,99,99,99,99,99,4,7,9,6,30,4,2,3,1,1.0207,.56128293
